YearMonth,Grid_X,Grid_Y,Crime_Count
2021-01,423,4646,1
2021-01,424,4645,2
2021-01,424,4646,2
2021-01,424,4647,8
2021-01,425,4647,50
2021-01,426,4645,3
2021-01,426,4647,3
2021-01,426,4649,11
2021-01,427,4649,1
2021-01,429,4646,4
2021-01,429,4647,9
2021-01,430,4643,5
2021-01,430,4644,6
2021-01,430,4645,6
2021-01,430,4646,2
2021-01,430,4647,23
2021-01,430,4648,9
2021-01,431,4643,6
2021-01,431,4644,5
2021-01,431,4647,7
2021-01,431,4648,2
2021-01,431,4649,2
2021-01,432,4642,1
2021-01,432,4643,10
2021-01,432,4644,14
2021-01,432,4647,10
2021-01,432,4648,24
2021-01,432,4649,13
2021-01,432,4650,10
2021-01,432,4651,4
2021-01,432,4652,1
2021-01,433,4625,8
2021-01,433,4626,6
2021-01,433,4627,3
2021-01,433,4640,9
2021-01,433,4641,11
2021-01,433,4642,17
2021-01,433,4643,19
2021-01,433,4644,11
2021-01,433,4645,1
2021-01,433,4646,7
2021-01,433,4647,15
2021-01,433,4648,6
2021-01,433,4649,9
2021-01,433,4650,2
2021-01,433,4651,1
2021-01,433,4652,1
2021-01,434,4625,15
2021-01,434,4626,12
2021-01,434,4627,13
2021-01,434,4639,1
2021-01,434,4640,12
2021-01,434,4641,19
2021-01,434,4642,20
2021-01,434,4643,20
2021-01,434,4644,18
2021-01,434,4645,1
2021-01,434,4646,4
2021-01,434,4647,13
2021-01,434,4648,12
2021-01,434,4649,19
2021-01,434,4651,1
2021-01,435,4625,20
2021-01,435,4626,11
2021-01,435,4627,10
2021-01,435,4635,10
2021-01,435,4636,10
2021-01,435,4637,20
2021-01,435,4638,15
2021-01,435,4639,10
2021-01,435,4640,20
2021-01,435,4641,28
2021-01,435,4642,35
2021-01,435,4643,24
2021-01,435,4644,22
2021-01,435,4645,15
2021-01,435,4646,18
2021-01,435,4647,11
2021-01,435,4648,11
2021-01,435,4649,5
2021-01,435,4650,2
2021-01,435,4651,6
2021-01,436,4625,11
2021-01,436,4626,3
2021-01,436,4627,10
2021-01,436,4635,11
2021-01,436,4636,78
2021-01,436,4637,60
2021-01,436,4638,65
2021-01,436,4639,45
2021-01,436,4640,20
2021-01,436,4641,47
2021-01,436,4642,27
2021-01,436,4643,20
2021-01,436,4644,37
2021-01,436,4645,16
2021-01,436,4646,28
2021-01,436,4647,15
2021-01,436,4648,5
2021-01,436,4649,3
2021-01,436,4650,6
2021-01,437,4625,4
2021-01,437,4627,12
2021-01,437,4628,5
2021-01,437,4629,2
2021-01,437,4635,6
2021-01,437,4636,125
2021-01,437,4637,70
2021-01,437,4638,60
2021-01,437,4639,55
2021-01,437,4640,49
2021-01,437,4641,45
2021-01,437,4642,31
2021-01,437,4643,30
2021-01,437,4644,30
2021-01,437,4645,27
2021-01,437,4646,29
2021-01,437,4647,10
2021-01,437,4648,1
2021-01,437,4649,5
2021-01,438,4620,3
2021-01,438,4621,7
2021-01,438,4622,15
2021-01,438,4624,11
2021-01,438,4625,13
2021-01,438,4626,26
2021-01,438,4627,20
2021-01,438,4628,14
2021-01,438,4629,5
2021-01,438,4632,2
2021-01,438,4634,3
2021-01,438,4635,31
2021-01,438,4636,119
2021-01,438,4637,39
2021-01,438,4638,17
2021-01,438,4639,14
2021-01,438,4640,53
2021-01,438,4641,21
2021-01,438,4642,23
2021-01,438,4643,20
2021-01,438,4644,25
2021-01,438,4645,11
2021-01,438,4646,15
2021-01,438,4647,4
2021-01,438,4648,6
2021-01,438,4649,5
2021-01,439,4620,6
2021-01,439,4621,14
2021-01,439,4622,8
2021-01,439,4623,1
2021-01,439,4624,19
2021-01,439,4625,27
2021-01,439,4626,14
2021-01,439,4627,19
2021-01,439,4628,19
2021-01,439,4629,11
2021-01,439,4630,1
2021-01,439,4631,3
2021-01,439,4632,37
2021-01,439,4633,43
2021-01,439,4634,56
2021-01,439,4635,68
2021-01,439,4636,141
2021-01,439,4637,22
2021-01,439,4638,44
2021-01,439,4639,51
2021-01,439,4640,43
2021-01,439,4641,33
2021-01,439,4642,28
2021-01,439,4643,23
2021-01,439,4644,16
2021-01,439,4645,34
2021-01,439,4646,35
2021-01,439,4647,5
2021-01,439,4648,5
2021-01,439,4649,9
2021-01,440,4614,1
2021-01,440,4615,10
2021-01,440,4616,7
2021-01,440,4617,5
2021-01,440,4620,10
2021-01,440,4621,19
2021-01,440,4622,13
2021-01,440,4623,7
2021-01,440,4624,12
2021-01,440,4625,26
2021-01,440,4626,13
2021-01,440,4627,6
2021-01,440,4628,13
2021-01,440,4629,2
2021-01,440,4631,4
2021-01,440,4632,38
2021-01,440,4633,62
2021-01,440,4634,116
2021-01,440,4635,95
2021-01,440,4636,51
2021-01,440,4637,74
2021-01,440,4638,112
2021-01,440,4639,55
2021-01,440,4640,37
2021-01,440,4641,30
2021-01,440,4642,19
2021-01,440,4643,31
2021-01,440,4644,32
2021-01,440,4645,31
2021-01,440,4646,37
2021-01,440,4647,10
2021-01,440,4648,13
2021-01,440,4649,5
2021-01,441,4614,1
2021-01,441,4615,13
2021-01,441,4616,10
2021-01,441,4617,5
2021-01,441,4620,2
2021-01,441,4621,15
2021-01,441,4622,12
2021-01,441,4623,16
2021-01,441,4624,22
2021-01,441,4625,61
2021-01,441,4626,28
2021-01,441,4627,24
2021-01,441,4628,22
2021-01,441,4629,18
2021-01,441,4630,20
2021-01,441,4631,1
2021-01,441,4632,25
2021-01,441,4633,48
2021-01,441,4634,72
2021-01,441,4635,121
2021-01,441,4636,66
2021-01,441,4637,36
2021-01,441,4638,55
2021-01,441,4639,26
2021-01,441,4640,45
2021-01,441,4641,30
2021-01,441,4642,32
2021-01,441,4643,12
2021-01,441,4644,33
2021-01,441,4645,23
2021-01,441,4646,30
2021-01,441,4647,10
2021-01,441,4648,13
2021-01,441,4649,29
2021-01,441,4650,16
2021-01,441,4651,5
2021-01,441,4652,1
2021-01,442,4614,3
2021-01,442,4615,4
2021-01,442,4616,4
2021-01,442,4617,2
2021-01,442,4618,1
2021-01,442,4621,12
2021-01,442,4622,5
2021-01,442,4623,25
2021-01,442,4624,35
2021-01,442,4625,81
2021-01,442,4626,38
2021-01,442,4627,25
2021-01,442,4628,10
2021-01,442,4629,36
2021-01,442,4630,22
2021-01,442,4631,9
2021-01,442,4632,21
2021-01,442,4633,37
2021-01,442,4634,11
2021-01,442,4635,37
2021-01,442,4636,27
2021-01,442,4637,23
2021-01,442,4638,19
2021-01,442,4639,32
2021-01,442,4640,34
2021-01,442,4641,37
2021-01,442,4642,34
2021-01,442,4643,8
2021-01,442,4644,12
2021-01,442,4645,14
2021-01,442,4646,27
2021-01,442,4647,44
2021-01,442,4648,23
2021-01,442,4649,40
2021-01,442,4650,20
2021-01,442,4651,23
2021-01,442,4652,7
2021-01,443,4614,15
2021-01,443,4615,17
2021-01,443,4616,11
2021-01,443,4617,7
2021-01,443,4618,12
2021-01,443,4619,4
2021-01,443,4621,16
2021-01,443,4622,17
2021-01,443,4623,36
2021-01,443,4624,53
2021-01,443,4625,46
2021-01,443,4626,15
2021-01,443,4627,32
2021-01,443,4628,20
2021-01,443,4629,6
2021-01,443,4630,7
2021-01,443,4631,13
2021-01,443,4632,3
2021-01,443,4633,45
2021-01,443,4634,4
2021-01,443,4635,23
2021-01,443,4636,58
2021-01,443,4637,30
2021-01,443,4638,32
2021-01,443,4639,29
2021-01,443,4640,51
2021-01,443,4641,15
2021-01,443,4642,35
2021-01,443,4643,25
2021-01,443,4644,15
2021-01,443,4645,19
2021-01,443,4646,24
2021-01,443,4647,19
2021-01,443,4649,34
2021-01,443,4650,28
2021-01,443,4651,35
2021-01,443,4652,2
2021-01,444,4614,10
2021-01,444,4615,29
2021-01,444,4616,8
2021-01,444,4617,9
2021-01,444,4618,11
2021-01,444,4619,29
2021-01,444,4620,34
2021-01,444,4621,50
2021-01,444,4622,83
2021-01,444,4623,37
2021-01,444,4624,72
2021-01,444,4625,41
2021-01,444,4626,40
2021-01,444,4627,65
2021-01,444,4628,42
2021-01,444,4629,31
2021-01,444,4630,16
2021-01,444,4631,20
2021-01,444,4632,1
2021-01,444,4633,30
2021-01,444,4634,21
2021-01,444,4635,22
2021-01,444,4636,40
2021-01,444,4637,17
2021-01,444,4638,39
2021-01,444,4639,51
2021-01,444,4640,16
2021-01,444,4641,26
2021-01,444,4642,19
2021-01,444,4643,32
2021-01,444,4644,25
2021-01,444,4645,14
2021-01,444,4646,27
2021-01,444,4647,22
2021-01,444,4648,26
2021-01,444,4649,40
2021-01,444,4650,45
2021-01,444,4651,50
2021-01,444,4652,59
2021-01,445,4613,9
2021-01,445,4614,27
2021-01,445,4615,27
2021-01,445,4616,17
2021-01,445,4617,22
2021-01,445,4618,16
2021-01,445,4619,32
2021-01,445,4620,47
2021-01,445,4621,61
2021-01,445,4622,63
2021-01,445,4623,43
2021-01,445,4624,58
2021-01,445,4625,69
2021-01,445,4626,49
2021-01,445,4627,34
2021-01,445,4628,25
2021-01,445,4629,2
2021-01,445,4630,1
2021-01,445,4631,10
2021-01,445,4632,18
2021-01,445,4633,9
2021-01,445,4634,40
2021-01,445,4635,32
2021-01,445,4636,35
2021-01,445,4637,34
2021-01,445,4638,31
2021-01,445,4639,11
2021-01,445,4640,26
2021-01,445,4641,23
2021-01,445,4642,20
2021-01,445,4643,38
2021-01,445,4644,23
2021-01,445,4645,54
2021-01,445,4646,81
2021-01,445,4647,57
2021-01,445,4648,41
2021-01,445,4649,57
2021-01,445,4650,24
2021-01,445,4651,13
2021-01,446,4612,18
2021-01,446,4613,21
2021-01,446,4614,24
2021-01,446,4615,23
2021-01,446,4616,25
2021-01,446,4617,27
2021-01,446,4618,21
2021-01,446,4619,34
2021-01,446,4620,38
2021-01,446,4621,41
2021-01,446,4622,70
2021-01,446,4623,50
2021-01,446,4624,65
2021-01,446,4625,71
2021-01,446,4626,26
2021-01,446,4627,24
2021-01,446,4628,14
2021-01,446,4629,8
2021-01,446,4630,21
2021-01,446,4631,33
2021-01,446,4632,37
